Numero pedido;nit_proveedor;nombre_proveedor;Categoria;Producto
PED-4964;NIT0000000054;Nestle;Alimentaci髇;
PED-4965;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4966;NIT0000000056;Burger King;Consultor韆;
PED-4967;NIT0000000057;KFC;Consultor韆;
PED-4968;NIT0000000058;Capgemini;Servicios;
PED-4969;NIT0000000059;Amazon;Tecnologia;
PED-4970;NIT0000000060;Tostao;Consultor韆;
PED-4971;NIT0000000061;McDonald's;Consultor韆;
PED-4972;NIT0000000062;Bain;Servicios;
PED-4973;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4974;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4975;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4976;NIT0000000066;SAP;Tecnologia;
PED-4977;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4978;NIT0000000068;EY;Servicios;
PED-4979;NIT0000000069;BCG;Servicios;
PED-4980;NIT0000000070;Google;Tecnologia;
PED-4981;NIT0000000001;ABM;Servicios P鷅licos;
PED-4982;NIT0000000002;Subway;Consultor韆;
PED-4983;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4984;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4985;NIT0000000005;ISS;Servicios P鷅licos;
PED-4986;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4987;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4988;NIT0000000008;IBM;Tecnologia;
PED-4989;NIT0000000009;Oma;Consultor韆;
PED-4990;NIT0000000010;Deloitte;Servicios;
PED-4991;NIT0000000011;Apple;Tecnologia;
PED-4992;NIT0000000012;Intel;Tecnologia;
PED-4993;NIT0000000013;General Mills;Alimentaci髇;
PED-4994;NIT0000000014;Unilever;Alimentaci髇;
PED-4995;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4996;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4997;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4998;NIT0000000018;E.ON;Energ韆;
PED-4999;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-5000;NIT0000000020;Iberdrola;Energ韆;
PED-5001;NIT0000000021;Engie;Energ韆;
PED-5002;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-5003;NIT0000000023;TCS;Servicios;
PED-5004;NIT0000000024;PepsiCo;Alimentaci髇;
PED-5005;NIT0000000025;PwC;Servicios;
PED-5006;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-5007;NIT0000000027;Duke Energy;Energ韆;
PED-5008;NIT0000000028;McKinsey;Servicios;
PED-5009;NIT0000000029;Danone;Alimentaci髇;
PED-5010;NIT0000000030;Facebook;Tecnologia;
PED-5011;NIT0000000031;Microsoft;Tecnologia;
PED-5012;NIT0000000032;Enel;Energ韆;
PED-5013;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-5014;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-5015;NIT0000000035;Kellogg;Alimentaci髇;
PED-5016;NIT0000000036;Southern Company;Energ韆;
PED-5017;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-5018;NIT0000000038;G4S;Servicios P鷅licos;
PED-5019;NIT0000000039;Consultorias Contables;Consultor韆;
PED-5020;NIT0000000040;RWE;Energ韆;
PED-5021;NIT0000000041;Juan Valdez;Consultor韆;
PED-5022;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-5023;NIT0000000043;Serco;Servicios P鷅licos;
PED-5024;NIT0000000044;Soluciones IT;Consultor韆;
PED-5025;NIT0000000045;NextEra Energy;Energ韆;
PED-5026;NIT0000000046;Exelon;Energ韆;
PED-5027;NIT0000000047;EDF;Energ韆;
PED-5028;NIT0000000048;Oracle;Tecnologia;
PED-5029;NIT0000000049;Starbucks;Consultor韆;
PED-5030;NIT0000000050;Accenture;Servicios;
PED-5031;NIT0000000051;Mondelez;Alimentaci髇;
PED-5032;NIT0000000052;KPMG;Servicios;
PED-5033;NIT0000000053;Cisco;Tecnologia;
PED-5034;NIT0000000054;Nestle;Alimentaci髇;
PED-5035;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-5036;NIT0000000056;Burger King;Consultor韆;
PED-5037;NIT0000000057;KFC;Consultor韆;
PED-5038;NIT0000000058;Capgemini;Servicios;
PED-5039;NIT0000000059;Amazon;Tecnologia;
PED-5040;NIT0000000060;Tostao;Consultor韆;
PED-5041;NIT0000000061;McDonald's;Consultor韆;
PED-5042;NIT0000000062;Bain;Servicios;
PED-5043;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-5044;NIT0000000064;Securitas;Servicios P鷅licos;
PED-5045;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-5046;NIT0000000066;SAP;Tecnologia;
PED-5047;NIT0000000067;Mitie;Servicios P鷅licos;
PED-5048;NIT0000000068;EY;Servicios;
PED-5049;NIT0000000069;BCG;Servicios;
PED-5050;NIT0000000070;Google;Tecnologia;
PED-5051;NIT0000000001;ABM;Servicios P鷅licos;
PED-5052;NIT0000000002;Subway;Consultor韆;
PED-5053;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-5054;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-5055;NIT0000000005;ISS;Servicios P鷅licos;
PED-5056;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-5057;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-5058;NIT0000000008;IBM;Tecnologia;
PED-5059;NIT0000000009;Oma;Consultor韆;
PED-5060;NIT0000000010;Deloitte;Servicios;
PED-5061;NIT0000000011;Apple;Tecnologia;
PED-5062;NIT0000000012;Intel;Tecnologia;
PED-5063;NIT0000000013;General Mills;Alimentaci髇;
PED-5064;NIT0000000014;Unilever;Alimentaci髇;
PED-5065;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-5066;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-5067;NIT0000000017;Aramark;Servicios P鷅licos;
PED-5068;NIT0000000018;E.ON;Energ韆;
PED-5069;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-5070;NIT0000000020;Iberdrola;Energ韆;
PED-5071;NIT0000000021;Engie;Energ韆;
PED-5072;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-5073;NIT0000000023;TCS;Servicios;
PED-5074;NIT0000000024;PepsiCo;Alimentaci髇;
PED-5075;NIT0000000025;PwC;Servicios;
PED-5076;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-5077;NIT0000000027;Duke Energy;Energ韆;
PED-5078;NIT0000000028;McKinsey;Servicios;
PED-5079;NIT0000000029;Danone;Alimentaci髇;
PED-5080;NIT0000000030;Facebook;Tecnologia;
PED-5081;NIT0000000031;Microsoft;Tecnologia;
PED-5082;NIT0000000032;Enel;Energ韆;
PED-5083;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-5084;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-5085;NIT0000000035;Kellogg;Alimentaci髇;
PED-5086;NIT0000000036;Southern Company;Energ韆;
PED-5087;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-5088;NIT0000000038;G4S;Servicios P鷅licos;
PED-5089;NIT0000000039;Consultorias Contables;Consultor韆;
PED-5090;NIT0000000040;RWE;Energ韆;
PED-5091;NIT0000000041;Juan Valdez;Consultor韆;
PED-5092;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-5093;NIT0000000043;Serco;Servicios P鷅licos;
PED-5094;NIT0000000044;Soluciones IT;Consultor韆;
PED-5095;NIT0000000045;NextEra Energy;Energ韆;
PED-5096;NIT0000000046;Exelon;Energ韆;
PED-5097;NIT0000000047;EDF;Energ韆;
PED-5098;NIT0000000048;Oracle;Tecnologia;
PED-5099;NIT0000000049;Starbucks;Consultor韆;
PED-5100;NIT0000000050;Accenture;Servicios;
PED-5101;NIT0000000051;Mondelez;Alimentaci髇;
PED-5102;NIT0000000052;KPMG;Servicios;
PED-5103;NIT0000000053;Cisco;Tecnologia;
PED-5104;NIT0000000054;Nestle;Alimentaci髇;
PED-5105;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-5106;NIT0000000056;Burger King;Consultor韆;
PED-5107;NIT0000000057;KFC;Consultor韆;
PED-5108;NIT0000000058;Capgemini;Servicios;
PED-5109;NIT0000000059;Amazon;Tecnologia;
PED-5110;NIT0000000060;Tostao;Consultor韆;
PED-5111;NIT0000000061;McDonald's;Consultor韆;
PED-5112;NIT0000000062;Bain;Servicios;
PED-5113;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-5114;NIT0000000064;Securitas;Servicios P鷅licos;
PED-5115;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-5116;NIT0000000066;SAP;Tecnologia;
PED-5117;NIT0000000067;Mitie;Servicios P鷅licos;
PED-5118;NIT0000000068;EY;Servicios;
PED-5119;NIT0000000069;BCG;Servicios;
PED-5120;NIT0000000070;Google;Tecnologia;
PED-5121;NIT0000000001;ABM;Servicios P鷅licos;
PED-5122;NIT0000000002;Subway;Consultor韆;
PED-5123;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-5124;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-5125;NIT0000000005;ISS;Servicios P鷅licos;
PED-5126;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-5127;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-5128;NIT0000000008;IBM;Tecnologia;
PED-5129;NIT0000000009;Oma;Consultor韆;
PED-5130;NIT0000000010;Deloitte;Servicios;
PED-5131;NIT0000000011;Apple;Tecnologia;
PED-5132;NIT0000000012;Intel;Tecnologia;
PED-5133;NIT0000000013;General Mills;Alimentaci髇;
PED-5134;NIT0000000014;Unilever;Alimentaci髇;
PED-5135;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-5136;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-5137;NIT0000000017;Aramark;Servicios P鷅licos;
PED-5138;NIT0000000018;E.ON;Energ韆;
PED-5139;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-5140;NIT0000000020;Iberdrola;Energ韆;
PED-5141;NIT0000000021;Engie;Energ韆;
PED-5142;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-5143;NIT0000000023;TCS;Servicios;
PED-5144;NIT0000000024;PepsiCo;Alimentaci髇;
PED-5145;NIT0000000025;PwC;Servicios;
PED-5146;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-5147;NIT0000000027;Duke Energy;Energ韆;
PED-5148;NIT0000000028;McKinsey;Servicios;
PED-5149;NIT0000000029;Danone;Alimentaci髇;
PED-5150;NIT0000000030;Facebook;Tecnologia;
PED-5151;NIT0000000031;Microsoft;Tecnologia;
PED-5152;NIT0000000032;Enel;Energ韆;
PED-5153;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-5154;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-5155;NIT0000000035;Kellogg;Alimentaci髇;
PED-5156;NIT0000000036;Southern Company;Energ韆;
PED-5157;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-5158;NIT0000000038;G4S;Servicios P鷅licos;
PED-5159;NIT0000000039;Consultorias Contables;Consultor韆;
PED-5160;NIT0000000040;RWE;Energ韆;
PED-5161;NIT0000000041;Juan Valdez;Consultor韆;
PED-5162;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-5163;NIT0000000043;Serco;Servicios P鷅licos;
PED-5164;NIT0000000044;Soluciones IT;Consultor韆;
PED-5165;NIT0000000045;NextEra Energy;Energ韆;
PED-5166;NIT0000000046;Exelon;Energ韆;
PED-5167;NIT0000000047;EDF;Energ韆;
PED-5168;NIT0000000048;Oracle;Tecnologia;
PED-5169;NIT0000000049;Starbucks;Consultor韆;
PED-5170;NIT0000000050;Accenture;Servicios;
PED-5171;NIT0000000051;Mondelez;Alimentaci髇;
PED-5172;NIT0000000052;KPMG;Servicios;
PED-5173;NIT0000000053;Cisco;Tecnologia;
PED-5174;NIT0000000054;Nestle;Alimentaci髇;
PED-5175;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-5176;NIT0000000056;Burger King;Consultor韆;
PED-5177;NIT0000000057;KFC;Consultor韆;
PED-5178;NIT0000000058;Capgemini;Servicios;
PED-5179;NIT0000000059;Amazon;Tecnologia;
PED-5180;NIT0000000060;Tostao;Consultor韆;
PED-5181;NIT0000000061;McDonald's;Consultor韆;
PED-5182;NIT0000000062;Bain;Servicios;
PED-5183;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-5184;NIT0000000064;Securitas;Servicios P鷅licos;
PED-5185;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-5186;NIT0000000066;SAP;Tecnologia;
PED-5187;NIT0000000067;Mitie;Servicios P鷅licos;
PED-5188;NIT0000000068;EY;Servicios;
PED-5189;NIT0000000069;BCG;Servicios;
PED-5190;NIT0000000070;Google;Tecnologia;
